# Perseus Dynamic Lexicon — Greek-Latin pairs NOT in existing Tesserae dictionary
# Filtered: score >= 25, single-char words removed
# Sigma normalized (ς→σ), Latin u/v normalized (v→u)
# 3001 novel pairs (of 4187 total filtered)
# Format: greek,latin
λόγοσ,causa
γυνή,coniunx
πρέσβυσ,senex
δοκέω,sententia
κακία,uitium
ἔτησ,annus
ὅπλον,telum
χίλιοσ,mille
κρίσισ,iudicium
δίκη,iudicium
διδάσκαλοσ,magister
ἀπόλλυμι,perdo
ἔθνοσ,tribus
Τρώσ,Troianus
ὄνομα,uerbum
λέγω,uoco
μήτε,aut
ὄμνυμι,iuro
ἵνα,ordo
μηδείσ,nemo
ἀγαθόσ,bene
μυρίοσ,mille
πω,adhuc
γραμματεύσ,scriba
ἀναγιγνώσκω,recito
οἰκέω,uiuo
χιλίαρχοσ,tribunus
τέκνον,puer
ἕωσ,usque
σήμερον,hodie
οὔτε,aut
λόγοσ,argumentum
μέχρι,quantum
ἀποπέμπω,mitto
ἀληθήσ,ueritas
μάλιστα,magnus
Κῦροσ,Cyrus
οἴομαι,credo
ἄναξ,princeps
μέγασ,summus
νικάω,uictoria
οὖν,propterea
ὀδών,dens
τάχα,fortasse
δίκαιοσ,ius
γνώμη,animus
ἀρχαῖοσ,uetus
θνήσκω,morior
διάνοια,animus
ἀφικνέομαι,uenio
ἀστόσ,ciuis
ὄχλοσ,multitudo
δεύτεροσ,deinde
δικαιοσύνη,iustitia
ἔποσ,uersus
στρατηγόσ,dux
γυνή,muliebris
ἀρχή,regnum
μάντισ,propheta
φιλόσοφοσ,philosophus
ὁμολογέω,fateor
κίων,columna
κελεύω,ordo
ἄνθρωποσ,iste
οὐδείσ,nullus
καλόσ,bene
ἀποδίδωμι,uendo
δικαστήριον,atrium
ἀλήθεια,etenim
αἱρέω,eligo
τιμάω,honor
κράσ,caput
γέφυρα,pons
πολλάκισ,saepe
φαίνω,appareo
μᾶλλον,malo
χρόνοσ,tum
πλοῦτοσ,ops
Ἀθηναῖοσ,ciuis
ὅλοσ,uniuersus
ἀκολουθέω,sequor
φοβέω,timeo
χάρισ,causa
δεῦρο,huc
ὕψοσ,altitudo
ἀγών,iudicium
πλάτοσ,latitudo
δένδρον,lignum
κοινόσ,publicus
τρεῖσ,terni
ἀγορά,forus
χώρα,ager
ἐργάζομαι,opus
τρόποσ,mos
βίοσ,aetas
ὥσπερ,similis
Ἑλλάσ,Graecia
ὅπωσ,iubeo
Τρώσ,Teucer
ὅμοιοσ,quasi
οἰκέω,habito
βωμόσ,altarium
μαρτυρέω,testimonium
ἀμφότεροσ,duo
προθυμία,studium
ἔχθρη,inimicitia
ἱππεύσ,equitatus
εἶδοσ,genus
ἀποκτείνω,interfacio
κατηγορέω,accuso
οὖν,ideo
καινόσ,nouus
πωλέω,uendo
παρά,iuxta
οὐδείσ,quisquam
σοφία,consilium
βίβλοσ,liber
ὅμοιοσ,sicut
ἔθοσ,mos
πάνυ,quidam
γένεσισ,generatio
σίδηροσ,ferreus
ἀνθρώπινοσ,humanus
μέχρι,usque
κελεύω,praecipio
πλούσιοσ,diues
ἔπαινοσ,laudo
στήλη,columna
δόξα,gloria
ἀποκτείνω,occaedes
ὅμοιοσ,similis
δεινόσ,periculum
πεζόσ,pes
ἀγρόσ,ager
πλοῖον,nauis
ἐπεί,quando
ὠνέομαι,emo
ναυτικόσ,classis
πρόσ,super
βασιλεύω,regno
ὕπνοσ,dormio
πρίν,donec
ἀπόκρισισ,respondeo
οἶκοσ,familia
συμβουλεύω,consilium
δύο,uter
αὐτοκράτωρ,princeps
ἤδη,tempus
συμμαχία,societas
νόμιμοσ,lex
ἀνήρ,maritus
πρέσβυσ,uetus
πρότεροσ,olim
ἄγω,affero
ἔρωσ,diligo
πόσοσ,quot
ἐάω,liceor
σκηνή,tabernaculum
ζητέω,peto
ἥμισυσ,dimidius
οὐδέτεροσ,neque
ὅρκοσ,iuro
ἐπεί,post
ἀσφάλεια,salus
οὐδέποτε,numquam
πρόσ,erga
χριστόσ,Christus
κέρασ,ala
ναῦσ,uasum
ἀλήθεια,uerus
νῦν,praesens
γέρων,uetus
ἀναγκάζω,copia
διά,ratio
φόνοσ,sanguis
κόσμοσ,ornamentum
σῶμα,ordo
ἔρομαι,quaero
ἀλλήλων,alius
ἀπόλλυμι,amitto
καίπερ,quamquam
ζῷον,bestia
στάδιοσ,stadium
σώζω,salus
αὐχήν,collum
φιλοσοφία,philosophia
πολύσ,procul
τοσοῦτοσ,tam
ἄγω,adduco
εἰκών,signum
ἡδύσ,iucundus
ἄδικοσ,iniquus
εἶπον,respondeo
πόλισ,Athenae
βουλευτήριοσ,curia
πλείων,multus
κρίνω,iudico
πλοῦτοσ,diuitiae
στόλοσ,classis
μᾶλλον,magnus
ἐπί,inuitus
φείδομαι,parco
πνεῦμα,animus
ἀρχιερεύσ,sacerdos
σύμπασ,totus
ἔργον,negotium
οὐδόσ,limen
χείρ,arma
φεύγω,fuga
κτείνω,interfacio
ἀήρ,aer
πρότεροσ,superus
ἀναβαίνω,ascendo
πείθω,pareo
ὀλίγοσ,paruus
μάχαιρα,gladius
παρασκευάζω,paro
σχεδόν,prope
περί,circiter
ὀρθόσ,ius
διά,propterea
εὐνοῦχοσ,eunuchus
οὐ,nolo
πότεροσ,siue
σκέλοσ,crus
φέρω,affero
συγγνώμη,ignosco
ὀκνέω,dubito
ἐκεῖθεν,Indus
ἀπελεύθεροσ,libertus
ἐν,medion
ἐπιστολή,epistula
θύρα,foras
κτείνω,occaedes
ἄδικοσ,iniustus
χρόνοσ,longus
κτῆμα,possessio
ἀρχή,honor
ὀλίγοσ,paulum
ἀνδρεῖοσ,animus
ἄθλιοσ,miser
ἀντί,locus
πιπράσκω,uendo
μονομάχοσ,gladiator
οὖν,idcirco
περιπατέω,ambulo
θεόσ,caelus
οὐσία,bonus
λίθοσ,marmor
ἐπιθυμέω,uolo
πίστισ,Hercules
παρά,apud
ζωή,uita
φέρω,adduco
πεζόσ,pedes
ἑκατοντάρχησ,centurio
σῶμα,homo
θαυμάζω,miro
ἔποσ,sermo
γένοσ,gener
κώμη,castellum
ἀνδράποδον,seruus
ὑπέρ,de
ἄρκτοσ,aquilo
πόλισμα,oppidum
γάμοσ,matrimonium
γίγνομαι,gigno
δῆμοσ,terra
ἔθοσ,consuetudo
ἄλλοσ,alienus
τηλικοῦτοσ,tantus
ὄψισ,uisio
τελευτή,mors
ἀπολογία,defensio
δεσμωτήριον,carcer
ἐναντίοσ,hostis
νεκρόσ,morior
βίαιοσ,uis
δέω,uolo
χρόνοσ,diu
οὖν,propter
στοιχεῖον,littera
Ὠκεανόσ,Oceanus
πόσισ,maritus
πρότεροσ,quondam
ἀνδριάσ,signum
νέφοσ,nubis
δίδωμι,concedo
πᾶσ,cunctus
νεφέλη,nubis
ἑταῖροσ,sodalis
τελευτάω,morior
πότεροσ,an
χρεία,opus
τίθημι,locus
ἱερόσ,aedes
δῆμοσ,contio
ὄσσα,oculus
πλείων,amplus
ἐντεῦθεν,Indus
νέοσ,puer
ὕλη,res
μνῆμα,sepulcrum
εἰ,uter
δεύτεροσ,iterum
κακία,scelus
ὄχλοσ,turba
φύλαξ,tutor
τέφρα,cinis
κατηγορία,crimen
αἴτιοσ,auctor
νεανίησ,adulescens
συμφορά,calamitas
θεράπων,seruus
φόβοσ,metuo
πεζόσ,terra
δείδω,metus
κλῆροσ,hereditas
ἐμφύλιοσ,ciuilis
γενεά,generatio
ὑγίεια,ualeo
ταῦροσ,uitulus
ἐάω,patior
αἱρέω,malo
ξύλον,silua
κύπροσ,cyprus
ἐλεύθεροσ,libero
χαίρω,ualeo
κλῆροσ,sors
γένοσ,genu
τολμάω,audacia
ἄποικοσ,colonia
ἐπιχειρέω,conor
ἐξαπατάω,fallo
εἷσ,quisquam
πρίαμαι,emo
ἄγαλμα,signum
ἀίδιοσ,aeternus
ἕκαστοσ,unus
ἄρχω,princeps
πέτρα,Petra
ἄξιοσ,dignitas
δεῖ,officium
ὄλλυμι,pereo
ψήφισμα,consultus
ὁμολογέω,confiteor
πώποτε,umquam
χωρίον,terra
δέσποινα,amicus
δικάζω,iudex
φόβοσ,uereor
πλέω,uelum
τράπεζα,ripa
νικάω,uictor
ὀγδοήκοντα,octoginta
ἀπόστολοσ,apostolus
ἐπιχειρέω,suscipio
μένω,reliquus
πολύσ,superus
δύναμισ,uirtus
ψάμαθοσ,harena
πρότεροσ,antea
κόσμοσ,orbis
θυσία,sacrificium
κινέω,moueo
ἀναγκάζω,uis
μαρτυρέω,testis
οἶοσ,solus
σφεῖσ,sui
ἐπιμέλεια,cura
πρίν,usque
ψηφίζω,sententia
πόθεν,unde
χαίρω,laeto
δούλειοσ,seruitus
τυγχάνω,fors
προσήκω,debeo
θύρα,ianua
μεταβάλλω,muto
ἡδύσ,dulcis
ἀκρόπολισ,arx
καταφρονέω,contemno
γνώμη,iudicium
ἀρκέω,satis
ποτέ,semper
χρῆμα,ops
προστάσσω,iubeo
πώποτε,numquam
φθόνοσ,inuideo
βούλομαι,utinam
ἐπαινέω,commendo
πατρῷοσ,patrimonium
ἄνθρωποσ,orbis
ποτέ,tempus
γοῦν,certus
φυγάσ,exsilium
ἀεί,tempus
χιλιάσ,mille
σφεῖσ,ipse
τυγχάνω,accido
ὥστε,ergo
μῆλον,ouis
ἀποδίδωμι,restituo
καλόσ,ius
εἰ,num
θυσία,immolo
ἅπασ,uniuersus
γῆ,finis
βουλεύω,consilium
ἤτοι,aut
ἄρχω,praecipio
μετά,deinde
οὐσία,fortuna
γένοσ,cognatio
κύριοσ,auctoritas
βαδίζω,ambulo
ὧδε,uia
νέοσ,iuuenis
κακόσ,miseria
αὐτοκράτωρ,Caesar
τιτρώσκω,uulnus
ἑκάτεροσ,aut
τάφοσ,sepulcrum
ἐνθάδε,huc
κρίνω,iudicium
συμβαίνω,accido
δύναμισ,imperium
χῶμα,ripa
κύριοσ,erus
ἀρχή,ratio
ἐρῶ,loquor
ἡλικία,saeculum
ἡμίονοσ,mulus
πόλισ,municipium
μάχη,pugno
βίοτοσ,uita
φυλακή,carcer
ἐπιλήθω,obliuiscor
γενναῖοσ,nobilis
δύναμαι,potestas
οἰκεῖοσ,domus
κεῖμαι,mendacium
πενία,egestas
ἐπίσταμαι,intellego
ἄριστοσ,fortis
ἀδύνατοσ,possum
πεζόσ,cohors
μέτωπον,frons
βοηθέω,auxilium
καίτοι,quamquam
πάνυ,certus
αἰών,uita
ποιητήσ,poeta
πρόσ,inuitus
ἅλισ,satis
ὥστε,hinc
στόμα,os
νότοσ,meridies
ἅγιοσ,sancio
ζῷον,iumentum
φάραγξ,uallum
διαπέμπω,mitto
ποτόσ,bibo
αἴξ,caprinus
βουλή,senator
σπείρω,cohors
εὔχομαι,quaeso
πρόθυμοσ,studium
τοκεύσ,parens
μέροσ,equidem
λόγοσ,contio
μετά,proximus
προσεῖπον,respondeo
οἰκία,familia
χάρισ,gratus
φαντασία,species
βούλομαι,uoluntas
πρέσβυσ,natus
λίθοσ,marmoreus
κατά,super
βλέφαρον,oculus
δύναμισ,potentia
μειράκιον,adulescens
ἀπόλλυμι,mors
ἄρσην,masculus
χθών,ager
ἀξιόω,postulo
ἀντίοσ,respondeo
χαλεπόσ,uix
καρδία,animus
παιδίον,puer
πέτρα,petra
πλοῖον,uasum
καλόσ,aequus
προσήκω,oportet
ψηφίζω,suffragium
γνώμη,mens
δῆλοσ,planus
γράφω,littera
χρῆμα,bonus
διάνοια,mens
γαῖα,ager
ἄξιοσ,mereo
μανία,furor
πιστόσ,fidelis
ὁπλίτησ,armatus
κοῖλοσ,cauus
οἰκία,templum
εὐδαίμων,felix
ἀπολογέομαι,defensio
σιγάω,taceo
διαβαίνω,crux
δαίμων,ingenium
δίκη,supplicium
νόμοσ,consuetudo
προδίδωμι,prodo
νῦν,munus
τελευτάω,finis
μισέω,odium
δεύτεροσ,secundo
τοιοῦτοσ,quasi
συναγωγή,synagoga
ἐπιφανήσ,clarus
Αἴασ,Aiax
χρώσ,caro
δέω,postulo
σοφία,prudentia
γῆρασ,aetas
κατά,sponte
ἐπιθυμία,uolo
ἴσοσ,aequo
ἀλλήλων,alter
ἀνάγκη,necesse
οὐκέτι,ulter
ἱμάτιον,uestis
φοβέω,timor
παραδίδωμι,libero
ἀδίκημα,scelus
ἀργύριον,argenteus
θαυμάζω,mirus
ἀναγκαῖοσ,necesse
κλισία,tabernaculum
λέγω,appello
πεδίον,campe
δέω,rogo
ὅταν,quotiens
γυμνάσιον,gymnasium
ἑκών,libet
ἔξαρνοσ,nego
νύκτωρ,nox
οἶδα,scientia
ψάμμοσ,harena
ἅμα,statim
τάλασ,miser
τοιοῦτοσ,sicut
βιβλίον,uolumen
κληρονομία,hereditas
ὅστισ,quicumque
εὔνοια,beneficium
ὅπωσ,ordo
δέοσ,timeo
ὄροσ,collis
τόποσ,regio
εἰσέρχομαι,intro
ὄψισ,oculus
ἀχάριστοσ,ingratus
προσαυδάω,uerbum
λόγοσ,tabula
ἀκούω,ausculto
χαλκόσ,aer
αὐξάνω,augeo
αἴτιοσ,crimen
ὕβρισ,uis
τέλοσ,extremus
μέσοσ,centrum
ἡσυχία,pax
ψυχρόσ,frigus
τεκμήριον,testimonium
αἰτέω,quaero
ἀγνοέω,ignoro
μηδέποτε,numquam
νεῦρον,neruus
τελευτάω,mors
τάξισ,iubeo
πεδίον,planus
κτῆσισ,possessio
τοιοῦτοσ,similis
ὅρκοσ,iuramentum
στρατεύω,ager
μαρτυρέω,perhibeo
ἦμαρ,hodie
μνημεῖον,monumentum
δέοσ,metus
προσήκω,officium
χώρα,rus
ἔρομαι,peto
δείδω,timor
δεξιόσ,ius
λοιπόσ,reliquus
προστάσσω,praecipio
αἱρέω,deligo
νέοσ,adulescentia
δοκέω,appareo
ἀσφαλήσ,salus
ἅρμα,quadrigae
καταβαίνω,descendo
τράπεζα,tabula
κώμη,uilla
οἴομαι,censeo
πλόοσ,nauigatio
ἄλσοσ,lucus
Τρώσ,Tros
ἐξελεύθεροσ,libertus
κατασκευάζω,aedifico
μιμνήσκω,recordor
δίκαιοσ,iustitia
κελεύω,imperium
θάλαμοσ,cubiculum
ἐρωτάω,peto
δῆμοσ,communis
ὑπόνοια,suspicio
διαβαίνω,transeo
ἀνόμοιοσ,dissimilis
ἐάω,sino
ἐλέφασ,elephantus
τυγχάνω,impetro
πορεύω,iter
οὐδαμόσ,minimus
μυρίοσ,innumerabilis
τηλικοῦτοσ,aetas
πολύσ,absum
φόνοσ,mors
τοῖχοσ,murus
διότι,quia
τρέφω,tergum
φυλή,tribus
δέω,peto
σημαίνω,signum
θρίαμβοσ,triumphus
ἐρῆμοσ,solitudo
διαρπάζω,praeda
δαίμων,fortuna
δόρπον,cena
βαθύσ,alo
ἱμάτιον,uestimentum
ἐπιστέλλω,scribo
ἔχθρη,odium
μάθημα,studium
διά,tabula
δέω,oro
βιάζω,uis
ὀλίγοσ,paene
ἀργύριον,nummus
τυφλόσ,caecus
ὠμότησ,crudelitas
ἐλεέω,misericordia
δόγμα,ratio
ἔρομαι,interrogo
δοκέω,opinio
θίσ,litus
νόμισμα,pecunia
νῦν,adsum
συνθήκη,pactum
ἵνα,impero
μάρτυσ,testimonium
ὑψηλόσ,superus
οὐδείσ,aliquis
δόγμα,sententia
ἰσχύσ,uis
χειροτονία,comitium
ἀμφισβητέω,controuersia
τιμή,pretium
κόσμοσ,mundum
Αἰγύπτιοσ,Aegyptus
ἔργον,opero
ἀπορία,uolo
σωμάτιον,corpus
δυνάστησ,princeps
ἀρνόσ,agnos
βούλομαι,placeo
μηδείσ,ullus
αὐτοκράτωρ,imperator
φαγεῖν,manduco
ἐντεῦθεν,hinc
ἀφίστημι,defectio
πάνυ,satis
καταγιγνώσκω,condemno
προίξ,dos
ἀποθνήσκω,interfacio
οἷοσ,quasi
ὑπηρέτησ,seruus
ἀρχή,officium
σιδήρεοσ,ferrum
μέταλλον,meus
αἰώνιοσ,aeternus
κίνησισ,motus
ἔχθοσ,odium
ὑβρίζω,contumelia
μεταπέμπω,arcesso
πρό,frons
αἰτέω,rogo
οἶοσ,unus
δαίμων,spiritus
στρατεία,expeditio
σποδόσ,cinis
ἄατοσ,auris
βαπτίζω,baptizo
δῆλοσ,campus
ἄδηλοσ,incertus
μνημονεύω,memini
στόμα,labium
βοῦσ,iumentum
τρέπω,fuga
μικρόσ,paulum
δουλεύω,seruus
ἕτεροσ,alienus
δύναμισ,cogo
λίθινοσ,lapis
σίδηροσ,gladius
νῦν,dono
πιστεύω,spero
γιγνώσκω,intellego
οὔποτε,numquam
λίθοσ,gemma
μάλιστα,dux
κεῖμαι,iaceo
χρηστόσ,bonus
μῆλον,grex
ὑπέρ,trans
βία,copia
ἀντίγραφοσ,exemplum
δίκαιοσ,dexter
ἄλσοσ,silua
εἰ,necne
ἄνθρωποσ,plebs
οἷοσ,sicut
ὀλίγοσ,prope
εὖροσ,latitudo
ἄνθρωποσ,mundum
προστίθημι,accedo
ἀποθνήσκω,occaedes
χάρισ,propter
ἐπίκουροσ,socius
ἀσφαλήσ,saluus
ἴσοσ,fors
ἀνάγκη,cogo
ἄγαλμα,effigies
κόνισ,puluis
καλόσ,speciosus
τρέπω,conuerto
μαστόσ,pectus
ἔθω,soleo
ἄνοια,stultitia
κύων,caninus
προσαγορεύω,uoco
πολιορκία,oppugnatio
διάδοχοσ,successor
τεκμήριον,argumentum
ὅπλον,armo
ἀγοράζω,emo
ἀπόλλυμι,deleo
θύω,sacrificium
οἷοσ,similis
οἶκοσ,templum
ἄγω,educo
μέγασ,alo
θυμόσ,pectus
πονηρόσ,impius
ὑπομένω,fero
ψεῦδοσ,fallo
καθεύδω,somnus
πλοῖον,nauicula
δέω,necesse
γέλοιοσ,ridiculus
συγγράφω,scribo
ὑποζύγιον,onus
κρήτη,Creta
διαλέγω,sermo
ἡδονή,delecto
τύχη,fors
λαμβάνω,recipio
ἑταίρα,meretrix
αἴτιοσ,ratio
κέρασ,columna
θέω,curro
φύω,naturalis
βούλομαι,quasi
τελευταῖοσ,nouissimus
ὑπατεία,consul
ἐπίτροποσ,procurator
νέοσ,iuuentus
λοχαγόσ,centurio
δύναμισ,Opis
κωμῳδία,comoedia
τλάω,audeo
ἄνωγα,iubeo
θύω,uictima
στρατεύω,iter
φυλάσσω,praesidium
οἰκία,apud
φεύγω,exsilium
γε,immo
εἴκοσι,uicesimus
ὁμολογέω,concedo
ἄρα,ergo
παύω,maneo
ἀνατίθημι,dedico
πίστισ,edepol
μιμνήσκω,memor
ἔθοσ,soleo
ἔξεστι,liceor
γλῶσσα,uerbum
ἑταῖροσ,commilito
ἀγών,contentio
ἕνεκα,quia
ὥστε,igitur
ὧδε,sic
μάλα,plenus
ἔπειτα,alter
λοιπόσ,ceterus
ὁμόνοια,concordia
πίνω,potus
χρῶμα,color
παραβολή,parabola
φύλαξ,praesidium
πρότεροσ,pristinus
τόποσ,ager
στοιχεῖον,elementum
πολλάκισ,creber
πάρειμι,praesens
ὕποπτοσ,suspicio
βούλομαι,sicut
ἐσθήσ,uestimentum
φρόνησισ,consilium
δόμοσ,templum
αὐγή,radius
δεῖ,ius
κατάγω,reddo
μιμνήσκω,memoria
πάλιν,tergum
ὀξύσ,acuo
ὁμολογέω,adsentio
βούλομαι,cupiditas
ἀποκτείνω,percutio
ἐναντίοσ,contrarius
παρέχω,profero
συμμαχία,affinitas
δικτάτωρ,dictator
ἑκών,sponte
γλῶσσα,taceo
διαλέγω,loquor
ἀποκρίνω,rescribo
μάχομαι,proelium
γάζα,Gaza
Ἴλιοσ,Troia
ἐγκέφαλοσ,cerebrum
λανθάνω,obliuiscor
ἐσθίω,manduco
πόσοσ,quantus
πέτροσ,lapis
ἐπίτροποσ,tutor
κράνοσ,galea
εὔνοια,fides
ἅπτω,attingo
ψῆφοσ,decerno
πέλεια,columba
ταμίασ,quaestor
ἀληθήσ,Hercules
βούλομαι,similis
ῥώμη,uis
ἐπιτήδευμα,studium
χαίρω,grando
γάιοσ,Gaius
ἡγεμονία,imperium
γράμμα,scribo
νίζω,lauo
ἴδιοσ,clam
βούλομαι,eligo
δῆτα,quidem
ἀγνοέω,imperitus
πορεία,iter
στοιχεῖον,principium
μειράκιον,puer
ποίησισ,adoptio
ζάω,habito
δικαστήσ,iudico
ἐνίοτε,interdum
προσδοκάω,exspecto
ἐλευθεριότησ,liberalitas
μηχάνημα,machina
σχεδόν,fere
κατηγορέω,arguo
ἁρμονία,Concordia
προδοσία,maiestas
λαλέω,loquor
σταθμόσ,scaena
πρέσβισ,legatio
λαγῶσ,lepor
φέρω,educo
μήποτε,numquam
οὕτωσ,talis
νόμοσ,caerimonia
δοκέω,iudicium
βοηθέω,defendo
τριήρησ,triremis
κολάζω,uisito
παρά,medion
πεζόσ,pedis
εὖ,ualeo
ἄμβροτοσ,immortalis
ἀπειλέω,minito
γνήσιοσ,legitimus
ἀνάμνησισ,memoria
φοβέω,uereor
ἀπέρχομαι,abeo
πάσχω,sino
ὑψηλόσ,alo
ἀπαγγέλλω,fama
ἀδικία,iniquitas
τίω,honor
Μενέλαοσ,Menelaus
γένειον,barba
σῖτοσ,frumentarius
ἐθέλω,recuso
κέρδοσ,quaestus
ἔαρ,fons
ἐάω,relinquo
λυπέω,dolor
πολιορκέω,obsido
ἐπιθυμέω,cupiditas
ὁσημέραι,cottidie
σπουδαῖοσ,bonus
Τροία,Troia
δοῦλοσ,seruio
κρατέω,uictoria
ἴδιοσ,priuatim
σκεῦοσ,uasum
βοή,clamo
μάχομαι,pugna
ἀγαπάω,amo
ἥμισυσ,dimidio
πρόσπολοσ,seruus
διά,ob
ἡμέρα,hodie
τροφή,cibus
ἐναντίοσ,inimicus
τισ,qui
μυελόσ,medulla
πιστεύω,confido
ταχύσ,celeriter
ἐμπίπλημι,impleo
πίστισ,pol
οὐρανόσ,Hercules
τάφοσ,monumentum
ὕλη,lignum
κομίζω,affero
φιλότησ,amo
